Equipo Local,Equipo Visitante,Fecha
ALAVES,OSASUNA,2026-04-05
ATL.MADRID,BARCELONA,2026-04-05
BETIS,ESPANYOL,2026-04-05
GIRONA,VILLARREAL,2026-04-05
MALLORCA,REAL MADRID,2026-04-05
OVIEDO,SEVILLA,2026-04-05
GETAFE,ATH.BILBAO,2026-04-05
VALENCIA,CELTA,2026-04-05
RAYO VALLECANO,ELCHE,2026-04-05
REAL SOCIEDAD,LEVANTE,2026-04-05
