Equipo Local,Equipo Visitante,Fecha
ALAVES,ATH.BILBAO,2026-05-03
BETIS,OVIEDO,2026-05-03
CELTA,ELCHE,2026-05-03
ESPANYOL,REAL MADRID,2026-05-03
GETAFE,RAYO VALLECANO,2026-05-03
GIRONA,MALLORCA,2026-05-03
VALENCIA,ATL.MADRID,2026-05-03
OSASUNA,BARCELONA,2026-05-03
VILLARREAL,LEVANTE,2026-05-03
SEVILLA,REAL SOCIEDAD,2026-05-03
