Equipo Local,Equipo Visitante,Fecha
ALAVES,GETAFE,2026-02-08
ATH.BILBAO,LEVANTE,2026-02-08
ATL.MADRID,BETIS,2026-02-08
BARCELONA,MALLORCA,2026-02-08
CELTA,OSASUNA,2026-02-08
REAL SOCIEDAD,ELCHE,2026-02-08
VILLARREAL,ESPANYOL,2026-02-08
SEVILLA,GIRONA,2026-02-08
VALENCIA,REAL MADRID,2026-02-08
RAYO VALLECANO,OVIEDO,2026-02-08
