Equipo Local,Equipo Visitante,Fecha
ATL.MADRID,OVIEDO,2025-11-30
CELTA,ESPANYOL,2025-11-30
GIRONA,REAL MADRID,2025-11-30
MALLORCA,OSASUNA,2025-11-30
RAYO VALLECANO,VALENCIA,2025-11-30
REAL SOCIEDAD,VILLARREAL,2025-11-30
BARCELONA,ALAVES,2025-11-30
LEVANTE,ATH.BILBAO,2025-11-30
SEVILLA,BETIS,2025-11-30
GETAFE,ELCHE,2025-11-30
