Equipo Local,Equipo Visitante,Fecha
ALAVES,BETIS,2026-01-25
ATL.MADRID,MALLORCA,2026-01-25
BARCELONA,OVIEDO,2026-01-25
SEVILLA,ATH.BILBAO,2026-01-25
REAL SOCIEDAD,CELTA,2026-01-25
LEVANTE,ELCHE,2026-01-25
VALENCIA,ESPANYOL,2026-01-25
GIRONA,GETAFE,2026-01-25
RAYO VALLECANO,OSASUNA,2026-01-25
VILLARREAL,REAL MADRID,2026-01-25
