Equipo Local,Equipo Visitante,Fecha
ALAVES,OVIEDO,2026-01-04
CELTA,VALENCIA,2026-01-04
ELCHE,VILLARREAL,2026-01-04
OSASUNA,ATH.BILBAO,2026-01-04
REAL SOCIEDAD,ATL.MADRID,2026-01-04
ESPANYOL,BARCELONA,2026-01-04
REAL MADRID,BETIS,2026-01-04
RAYO VALLECANO,GETAFE,2026-01-04
MALLORCA,GIRONA,2026-01-04
SEVILLA,LEVANTE,2026-01-04
