Equipo Local,Equipo Visitante,Fecha
ALAVES,REAL MADRID,2025-12-14
ATL.MADRID,VALENCIA,2025-12-14
BARCELONA,OSASUNA,2025-12-14
LEVANTE,VILLARREAL,2025-12-14
CELTA,ATH.BILBAO,2025-12-14
RAYO VALLECANO,BETIS,2025-12-14
MALLORCA,ELCHE,2025-12-14
GETAFE,ESPANYOL,2025-12-14
REAL SOCIEDAD,GIRONA,2025-12-14
SEVILLA,OVIEDO,2025-12-14
