Equipo Local,Equipo Visitante,Fecha
ATH.BILBAO,REAL SOCIEDAD,2026-02-01
BETIS,VALENCIA,2026-02-01
MALLORCA,SEVILLA,2026-02-01
OSASUNA,VILLARREAL,2026-02-01
ESPANYOL,ALAVES,2026-02-01
LEVANTE,ATL.MADRID,2026-02-01
ELCHE,BARCELONA,2026-02-01
GETAFE,CELTA,2026-02-01
OVIEDO,GIRONA,2026-02-01
REAL MADRID,RAYO VALLECANO,2026-02-01
