Equipo Local,Equipo Visitante,Fecha
ALAVES,ELCHE,2025-10-05
ATH.BILBAO,MALLORCA,2025-10-05
GIRONA,VALENCIA,2025-10-05
REAL MADRID,VILLARREAL,2025-10-05
CELTA,ATL.MADRID,2025-10-05
SEVILLA,BARCELONA,2025-10-05
ESPANYOL,BETIS,2025-10-05
OSASUNA,GETAFE,2025-10-05
OVIEDO,LEVANTE,2025-10-05
REAL SOCIEDAD,RAYO VALLECANO,2025-10-05
