Equipo Local,Equipo Visitante,Fecha
ALAVES,MALLORCA,2026-04-19
BETIS,REAL MADRID,2026-04-19
ESPANYOL,LEVANTE,2026-04-19
OSASUNA,SEVILLA,2026-04-19
RAYO VALLECANO,REAL SOCIEDAD,2026-04-19
ATL.MADRID,ATH.BILBAO,2026-04-19
GETAFE,BARCELONA,2026-04-19
VILLARREAL,CELTA,2026-04-19
OVIEDO,ELCHE,2026-04-19
VALENCIA,GIRONA,2026-04-19
