Equipo Local,Equipo Visitante,Fecha
ALAVES,VILLARREAL,2026-03-15
ATL.MADRID,GETAFE,2026-03-15
BARCELONA,SEVILLA,2026-03-15
BETIS,CELTA,2026-03-15
OVIEDO,VALENCIA,2026-03-15
GIRONA,ATH.BILBAO,2026-03-15
REAL MADRID,ELCHE,2026-03-15
MALLORCA,ESPANYOL,2026-03-15
RAYO VALLECANO,LEVANTE,2026-03-15
REAL SOCIEDAD,OSASUNA,2026-03-15
