Equipo Local,Equipo Visitante,Fecha
ALAVES,REAL SOCIEDAD,2025-12-07
ATH.BILBAO,ATL.MADRID,2025-12-07
ELCHE,GIRONA,2025-12-07
ESPANYOL,RAYO VALLECANO,2025-12-07
BETIS,BARCELONA,2025-12-07
REAL MADRID,CELTA,2025-12-07
VILLARREAL,GETAFE,2025-12-07
OSASUNA,LEVANTE,2025-12-07
OVIEDO,MALLORCA,2025-12-07
VALENCIA,SEVILLA,2025-12-07
