Equipo Local,Equipo Visitante,Fecha
ATH.BILBAO,VILLARREAL,2026-04-12
BARCELONA,ESPANYOL,2026-04-12
CELTA,OVIEDO,2026-04-12
ELCHE,VALENCIA,2026-04-12
MALLORCA,RAYO VALLECANO,2026-04-12
REAL SOCIEDAD,ALAVES,2026-04-12
SEVILLA,ATL.MADRID,2026-04-12
OSASUNA,BETIS,2026-04-12
LEVANTE,GETAFE,2026-04-12
REAL MADRID,GIRONA,2026-04-12
