ATH.BILBAO,GIRONA,2025-09-24 
ATL.MADRID,RAYO VALLECANO,2025-09-24 
ESPANYOL,VALENCIA,2025-09-24 
LEVANTE,REAL MADRID,2025-09-24 
SEVILLA,VILLARREAL,2025-09-24 
GETAFE,ALAVES,2025-09-24 
OVIEDO,BARCELONA,2025-09-24 
CELTA,BETIS,2025-09-24 
OSASUNA,ELCHE,2025-09-24 
REAL SOCIEDAD,MALLORCA,2025-09-24
