Equipo Local,Equipo Visitante,Fecha
ATH.BILBAO,ESPANYOL,2025-12-21
BETIS,GETAFE,2025-12-21
ELCHE,RAYO VALLECANO,2025-12-21
LEVANTE,REAL SOCIEDAD,2025-12-21
REAL MADRID,SEVILLA,2025-12-21
OSASUNA,ALAVES,2025-12-21
GIRONA,ATL.MADRID,2025-12-21
VILLARREAL,BARCELONA,2025-12-21
OVIEDO,CELTA,2025-12-21
VALENCIA,MALLORCA,2025-12-21
