Equipo Local,Equipo Visitante,Fecha
ELCHE,OSASUNA,2026-02-15
GETAFE,VILLARREAL,2026-02-15
LEVANTE,VALENCIA,2026-02-15
REAL MADRID,REAL SOCIEDAD,2026-02-15
SEVILLA,ALAVES,2026-02-15
OVIEDO,ATH.BILBAO,2026-02-15
RAYO VALLECANO,ATL.MADRID,2026-02-15
GIRONA,BARCELONA,2026-02-15
MALLORCA,BETIS,2026-02-15
ESPANYOL,CELTA,2026-02-15
