Equipo Local,Equipo Visitante,Fecha
ALAVES,BARCELONA,2026-05-13
BETIS,ELCHE,2026-05-13
CELTA,LEVANTE,2026-05-13
GETAFE,MALLORCA,2026-05-13
GIRONA,REAL SOCIEDAD,2026-05-13
ESPANYOL,ATH.BILBAO,2026-05-13
OSASUNA,ATL.MADRID,2026-05-13
VALENCIA,RAYO VALLECANO,2026-05-13
VILLARREAL,SEVILLA,2026-05-13
REAL MADRID,OVIEDO,2026-05-13
