Equipo Local, Equipo Visitante, Fecha
ATL.MADRID, OSASUNA, 2025-10-19
BARCELONA, GIRONA, 2025-10-19
CELTA, REAL SOCIEDAD, 2025-10-19
GETAFE, REAL MADRID, 2025-10-19
LEVANTE, RAYO VALLECANO, 2025-10-19
ELCHE, ATH.BILBAO, 2025-10-19
VILLARREAL, BETIS, 2025-10-19
OVIEDO, ESPANYOL, 2025-10-19
SEVILLA, MALLORCA, 2025-10-19
ALAVES, VALENCIA, 2025-10-19


