Equipo Local,Equipo Visitante,Fecha
ALAVES,RAYO VALLECANO,2026-05-24
BETIS,LEVANTE,2026-05-24
CELTA,SEVILLA,2026-05-24
ESPANYOL,REAL SOCIEDAD,2026-05-24
GETAFE,OSASUNA,2026-05-24
MALLORCA,OVIEDO,2026-05-24
REAL MADRID,ATH.BILBAO,2026-05-24
VILLARREAL,ATL.MADRID,2026-05-24
VALENCIA,BARCELONA,2026-05-24
GIRONA,ELCHE,2026-05-24
