Equipo Local,Equipo Visitante,Fecha
ALAVES,CELTA,2025-11-23
BETIS,GIRONA,2025-11-23
ELCHE,REAL MADRID,2025-11-23
ESPANYOL,SEVILLA,2025-11-23
OSASUNA,REAL SOCIEDAD,2025-11-23
OVIEDO,RAYO VALLECANO,2025-11-23
BARCELONA,ATH.BILBAO,2025-11-23
GETAFE,ATL.MADRID,2025-11-23
VALENCIA,LEVANTE,2025-11-23
VILLARREAL,MALLORCA,2025-11-23
