Equipo Local,Equipo Visitante,Fecha
ATH.BILBAO,BARCELONA,2026-03-08
ATL.MADRID,REAL SOCIEDAD,2026-03-08
CELTA,REAL MADRID,2026-03-08
ESPANYOL,OVIEDO,2026-03-08
VALENCIA,ALAVES,2026-03-08
GETAFE,BETIS,2026-03-08
VILLARREAL,ELCHE,2026-03-08
LEVANTE,GIRONA,2026-03-08
OSASUNA,MALLORCA,2026-03-08
SEVILLA,RAYO VALLECANO,2026-03-08
