Equipo Local,Equipo Visitante,Fecha
ATH.BILBAO,CELTA,2026-05-17
ATL.MADRID,GIRONA,2026-05-17
BARCELONA,BETIS,2026-05-17
ELCHE,GETAFE,2026-05-17
LEVANTE,MALLORCA,2026-05-17
RAYO VALLECANO,VILLARREAL,2026-05-17
REAL SOCIEDAD,VALENCIA,2026-05-17
OVIEDO,ALAVES,2026-05-17
OSASUNA,ESPANYOL,2026-05-17
SEVILLA,REAL MADRID,2026-05-17
