Equipo Local,Equipo visitante,Fecha
ELCHE, REAL SOCIEDAD, 2025-11-09
GIRONA, ALAVES, 2025-11-09
SEVILLA, OSASUNA, 2025-11-09
ATL.MADRID, LEVANTE, 2025-11-09
ESPANYOL, VILLARREAL, 2025-11-09
ATH.BILBAO, OVIEDO, 2025-11-09
RAYO VALLECANO, REAL MADRID, 2025-11-09
MALLORCA, GETAFE,2025-11-09
VALENCIA, BETIS, 2025-11-09
CELTA, BARCELONA, 2025-11-09
