Equipo Local,Equipo Visitante,Fecha
ATH.BILBAO,OSASUNA,2026-04-22
BARCELONA,CELTA,2026-04-22
LEVANTE,SEVILLA,2026-04-22
MALLORCA,VALENCIA,2026-04-22
OVIEDO,VILLARREAL,2026-04-22
REAL MADRID,ALAVES,2026-04-22
ELCHE,ATL.MADRID,2026-04-22
GIRONA,BETIS,2026-04-22
RAYO VALLECANO,ESPANYOL,2026-04-22
REAL SOCIEDAD,GETAFE,2026-04-22
