Equipo Local,Equipo Visitante,Fecha
ALAVES,GIRONA,2026-02-22
ATH.BILBAO,ELCHE,2026-02-22
ATL.MADRID,ESPANYOL,2026-02-22
BARCELONA,LEVANTE,2026-02-22
BETIS,RAYO VALLECANO,2026-02-22
CELTA,MALLORCA,2026-02-22
GETAFE,SEVILLA,2026-02-22
OSASUNA,REAL MADRID,2026-02-22
VILLARREAL,VALENCIA,2026-02-22
REAL SOCIEDAD,OVIEDO,2026-02-22
