Equipo Local,Equipo Visitante,Fecha
BETIS,VILLARREAL,2026-01-18
CELTA,RAYO VALLECANO,2026-01-18
ELCHE,SEVILLA,2026-01-18
ESPANYOL,GIRONA,2026-01-18
GETAFE,VALENCIA,2026-01-18
OSASUNA,OVIEDO,2026-01-18
ATL.MADRID,ALAVES,2026-01-18
MALLORCA,ATH.BILBAO,2026-01-18
REAL SOCIEDAD,BARCELONA,2026-01-18
REAL MADRID,LEVANTE,2026-01-18
