Equipo Local, Equipo Visitante, Fecha
GIRONA, OVIEDO, 2025-10-26
REAL SOCIEDAD, SEVILLA, 2025-10-26
VALENCIA, VILLARREAL, 2025-10-26
RAYO VALLECANO, ALAVES, 2025-10-26
BETIS, ATL.MADRID, 2025-10-26
REAL MADRID, BARCELONA, 2025-10-26
OSASUNA, CELTA, 2025-10-26
ESPANYOL, ELCHE, 2025-10-26
MALLORCA, LEVANTE, 2025-10-26
ATH.BILBAO, GETAFE, 2025-10-26
