AFC Ajax
AS MonacoCopenhagen
Arsenal
Arsenal FC
Atalanta
Atalanta BCB
Athletic Club
Atleti
Atlético de MadridA
B. Dortmund
Barcelona
Bayer 04 LeverkusenMan City
Bodø/Glimt
Borussia DortmundTottenham
Chelsea
Chelsea FCLiverpool
Club Brugge
Club Brugge KV
Eintracht Frankfurt
F.C. Copenhagen
FC Barcelona
FC Bayern München
FC Internazionale Milano
FC Kairat AlmatyNewcastle
FK Bodø/GlimtParis
Galatasaray
Galatasaray A.Ş.Sporting CP
Inter
Juventus
Kairat Almaty
Leverkusen
Liverpool FC
Manchester City
Marseille
Monaco
Napoli
Newcastle United FC
Olympiacos
Olympiacos FC
Olympique de MarseilleBenfica
PSV
PSV Eindhoven
Pafos
Pafos FCSlavia Praha
Paris Saint-Germain
Qarabağ
Qarabağ FKJuventus
R. Union Saint-GilloiseAthletic Club
Real Madrid C.F.
SK Slavia Praha
SL Benfica
SSC NapoliFrankfurt
Sporting Clube de Portugal
Tottenham Hotspur
Union SG
Villarreal
Villarreal CFIr a selección de fecha
