nombre_jugador
Mattia Perin
Michele Di
Carlo Pinsoglio
Matteo Fuscaldo
Bremer3 D
Federico Gatti
Lloyd Kelly
Pierre Kalulu
Daniele Rugani
Joao Mario
Andrea Cambiaso
Juan Cabal
Jonas Rouhi
Manuel Locatelli
Teun Koopmeiners
Vasilije Adzic
Filip Kostic
Khephren Thuram
Fabio Miretti
Weston McKennie
Edon Zhegrova
Lois Openda
Francisco Conceicao
Dusan Vlahovic
Kenan Yildiz
Arkadiusz Milik
Jonathan David
