nombre_jugador
Geronimo Rulli
Jeffrey de
Ruben Blanco
Jelle Van
Theo Vermot
Fode Camara
CJ Egan-Riley
Leonardo Balerdi
Ulisses Garcia
Nayef Aguerd
Benjamin Pavard
Pol Lirola
Facundo Medina
Emerson33
Michael Murillo
Angel Gomes
Amine Harit
Matt O'Riley
Arthur Vermeeren
Geoffrey Kondogbia
Hamed Traore
Pierre-Emile Højbjerg
Bilal Nadir
Yanis Sellami
Darryl Bakola
Neal Maupay
Amine Gouiri
Mason Greenwood
Igor Paixao
Timothy Weah
Francois Mughe
Robinio Vaz
Keyliane Abdallah
Pierre-Emerick Aubameyang
