nombre_jugador
Alisson Becker
Giorgi Mamardashvili
Freddie Woodman
Armin Pecsi
Joe Gomez
Virgil van
Ibrahima Konate
Milos Kerkez
Conor Bradley
Giovanni Leoni
Andrew Robertson
Jeremie Frimpong
Rhys Williams
Calvin Ramsay
Wataru Endo
Florian Wirtz
Dominik Szoboszlai
Alexis Mac
Curtis Jones
Ryan Gravenberch
Trey Nyoni
Stefan Bajcetic
Alexander Isak
Mohamed Salah
Federico Chiesa
Cody Gakpo
Hugo Ekitike
Rio Ngumoha
