nombre_jugador
Lucas Chevalier
Matvei Safonov
Renato Marin
Achraf Hakimi
Presnel Kimpembe
Lucas Beraldo
Marquinhos
Illia Zabarnyi
Lucas Hernandez
Nuno Mendes
Noham Kamara
Willian Pacho
Fabian Ruiz
Vitinha
Lee Kang-in
Senny Mayulu
Warren Zaire-Emery
Joao Neves
Khvicha Kvaratskhelia
Goncalo Ramos
Ousmane Dembele
Desire Doue
Bradley Barcola
Ibrahim Mbaye
