nombre_jugador
Mark Flekken
Janis Blaswich
Niklas Lomb
Jarell Quansah
Loic Bade
Edmond Tapsoba
Arthur13 D
Axel Tape
Alejandro Grimaldo
Lucas Vazquez
Andrea Natali
Jeanuel Belocian
Ezequiel Fernandez
Jonas Hofmann
Robert Andrich
Claudio Echeverri
Malik Tillman
Eliesse Ben
Aleix Garcia
Exequiel Palacios
Jeremiah Mensah
Martin Terrier
Patrik Schick
Alejo Sarco
Ernest Poku
Nathan Tella
Ibrahim Maza
Christian Kofane
