Marvin Keller
Gregor Kobel
Yvon Mvogo
Manuel Akanji
Aurèle Amenda
Eray Cömert
Nico Elvedi
Luca Jaquez
Miro Muheim
Ricardo Rodriguez
Silvan Widmer
Gran Xhaka
Denis Zakaria
Michel Aebischer
Christian Fassnacht
Remo Freuler
Ardon Jashari
Johan Manzambi
Fabian Rieder
Djibril Sow
Zeki Amdouni
Breel Embolo
Cedric Itten
Dan Ndoye
Noah Okafor
Ruben Vargas
