Tyrick Bodak
Trevor Doornbusch
Eloy Room
Riechedly Bazoer
Joshua Brenet
Roshon Van Eijma
Sherel Floranus
Deveron Fonville
Jurïen Gaari
Armando Obispo
Shurandy Sambo
Juninho Bacuna
Leandro Bacuna
Livano Comenencia
Kevin Felida
Arjany Martha
Tyrese Noslin
Godfried Roemeratoe
Jeremy Antonisse
Tahith Chong
Kenji Gorré
Sontje Hansen
Gervane Kastaneer
Brandley Kuwas
Jürgen Locadia
Jearl Margaritha
