Alisson
Ederson
Weverton
Alex Sandro
Bremer
Danilo
Douglas Santos
Gabriel Magalhaes
Ibañez
Leo Pereira
Marquinhos
Wesley
Brunos Guimaraes
Casemiro
Danilo
Fabinho
Lucas Paquetá
Endrick
Gabriel Martinelli
Igor Thiago
Luiz Henrique
Matheus Cunha
Neymar Jr
Raphinha
Vinicius
Rayan
