equipo_local,equipo_visitante,fecha,fase,jornada
Galatasaray,Juventus,2026-02-18,Repesca,1
Benfica,Real Madrid,2026-02-18,Repesca,1
Monaco,Paris Saint-Germain,2026-02-18,Repesca,1
B.Dortmund,Atalanta,2026-02-18,Repesca,1
Qarabağ,Newcastle United,2026-02-18,Repesca,1
Bodø_Glimt,Inter,2026-02-18,Repesca,1
Club Brugge,Atlético de Madrid,2026-02-18,Repesca,1
Olympiacos,Leverkusen,2026-02-18,Repesca,1





