equipo_local,equipo_visitante,fecha,fase,jornada
Kairat Almaty,Club Brugge ,2026-01-20,Liga,1
Bodø_Glimt,Manchester City ,2026-01-20,Liga,1
Copenhagen,Napoli,2026-01-20,Liga,1
Inter,Arsenal,2026-01-20,Liga,1
Olympiacos,Leverkusen,2026-01-20,Liga,1
Real Madrid,Monaco,2026-01-20,Liga,1
Sporting CP,Paris Saint-Germain,2026-01-20,Liga,1
Tottenham,B.Dortmund,2026-01-20,Liga,1
Villarreal,Ajax,2026-01-20,Liga,1
Galatasaray,Atlético de Madrid ,2026-01-21,Liga,1
Qarabağ,Frankfurt ,2026-01-21,Liga,1
Atalanta,Athletic Club,2026-01-21,Liga,1
Chelsea,Pafos,2026-01-21,Liga,1
Bayern München,Union Saint Gilloise,2026-01-21,Liga,1
Juventus,Benfica,2026-01-21,Liga,1
Newcastle United,PSV Eindhoven,2026-01-21,Liga,1
Marseille,Liverpool,2026-01-21,Liga,1
Slavia Praha,Barcelona,2026-01-21,Liga,1
