equipo_local,equipo_visitante,fecha,fase,4
Slavia Praha,Arsenal,2025-11-04,Liga,4
Napoli,Frankfurt,2025-11-04,Liga,4
Atlético de Madrid,Union Saint Gilloise,2025-11-04,Liga,4
Bodø_Glimt,Monaco,2025-11-04,Liga,4
Juventus,Sporting CP,2025-11-04,Liga,4
Liverpool,Real Madrid,2025-11-04,Liga,4
Olympiacos,PSV Eindhoven,2025-11-04,Liga,4
Paris Saint-Germain,Bayern München,2025-11-04,Liga,4
Tottenham,Copenhagen,2025-11-04,Liga,4
Pafos,Villarreal,2025-11-05,Liga,4
Qarabağ,Chelsea,2025-11-05,Liga,4
Ajax,Galatasaray,2025-11-05,Liga,4
Club Brugge,Barcelona,2025-11-05,Liga,4
Inter,Kairat Almaty,2025-11-05,Liga,4
Manchester City,B.Dortmund,2025-11-05,Liga,4
Newcastle United,Athletic Club,2025-11-05,Liga,4
Marseille,Atalanta,2025-11-05,Liga,4
Benfica,Leverkusen,2025-11-05,Liga,4
