equipo_local,equipo_visitante,fecha,fase,jornada
Galatasaray,Juventus,2026-02-18,Repesca,1
Benfica,Real Madrid,2026-02-18,Repesca,1
AS Mónaco,Paris Saint-Germain,2026-02-18,Repesca,1
Borussia Dortmund,Atalanta,2026-02-18,Repesca,1
Qarabag,Newcastle United,2026-02-18,Repesca,1
Bodø/Glimt,Inter de Milán,2026-02-18,Repesca,1
Club Brujas,Atlético de Madrid,2026-02-18,Repesca,1
Olympiakos,B. Leverkusen,2026-02-18,Repesca,1





