equipo_local,equipo_visitante,fecha,fase,jornada
Athletic Club,Arsenal,2025-09-16,Liga,1
PSV Eindhoven,Union Saint Gilloise,2025-09-16,Liga,1
Juventus,B.Dortmund,2025-09-16,Liga,1
Real Madrid,Marseille,2025-09-16,Liga,1
Benfica,Qarabağ,2025-09-16,Liga,1
Tottenham,Villarreal,2025-09-16,Liga,1
Olympiacos,Pafos,2025-09-17,Liga,1
Slavia Praha,Bodø_Glimt,2025-09-17,Liga,1
Ajax,Inter,2025-09-17,Liga,1
Bayern München,Chelsea,2025-09-17,Liga,1
Liverpool,Atlético de Madrid,2025-09-17,Liga,1
Paris Saint-Germain,Atalanta,2025-09-17,Liga,1
Club Brugge,Monaco,2025-09-18,Liga,1
Copenhagen,Leverkusen,2025-09-18,Liga,1
Frankfurt,Galatasaray,2025-09-18,Liga,1
Manchester City,Napoli,2025-09-18,Liga,1
Newcastle United,Barcelona,2025-09-18,Liga,1
Sporting CP,Kairat Almaty,2025-09-18,Liga,1
