equipo_local,equipo_visitante,fecha,fase,5
Ajax,Benfica ,2025-11-25,Liga,5
Galatasaray,Union Saint Gilloise ,2025-11-25,Liga,5
B.Dortmund,Villarreal,2025-11-25,Liga,5
Chelsea,Barcelona,2025-11-25,Liga,5
Bodø_Glimt,Juventus,2025-11-25,Liga,5
Manchester City,Leverkusen,2025-11-25,Liga,5
Marseille,Newcastle United,2025-11-25,Liga,5
Slavia Praha,Athletic Club,2025-11-25,Liga,5
Napoli,Qarabağ,2025-11-25,Liga,5
Copenhagen,Kairat Almaty ,2025-11-26,Liga,5
Pafos,Monaco ,2025-11-26,Liga,5
Arsenal,Bayern München,2025-11-26,Liga,5
Atlético de Madrid,Inter,2025-11-26,Liga,5
Frankfurt,Atalanta,2025-11-26,Liga,5
Liverpool,PSV Eindhoven,2025-11-26,Liga,5
Olympiacos,Real Madrid,2025-11-26,Liga,5
Paris Saint-Germain,Tottenham,2025-11-26,Liga,5
Sporting CP,Club Brugge,2025-11-26,Liga,5
