equipo_local,equipo_visitante,fecha,fase,jornada
Atlético de Madrid,Club Brugge,2026-02-25,Repesca,1
Leverkusen,Olympiacos,2026-02-25,Repesca,1
Inter,Bodø_Glimt,2026-02-25,Repesca,1
Newcastle United,Qarabağ,2026-02-25,Repesca,1
Atalanta,B.Dortmund,2026-02-25,Repesca,1
Juventus,Galatasaray,2026-02-25,Repesca,1
Real Madrid,Benfica,2026-02-25,Repesca,1
Paris Saint-Germain,Monaco,2026-02-25,Repesca,1
