equipo_local,equipo_visitante,fecha,fase,jornada
Barcelona,Olympiacos ,2025-10-21,Liga,3
Kairat Almaty,Pafos ,2025-10-21,Liga,3
Arsenal,Atlético de Madrid,2025-10-21,Liga,3
Leverkusen,Paris Saint-Germain,2025-10-21,Liga,3
Copenhagen,B.Dortmund,2025-10-21,Liga,3
Newcastle United,Benfica,2025-10-21,Liga,3
PSV Eindhoven,Napoli,2025-10-21,Liga,3
Union Saint Gilloise,Inter,2025-10-21,Liga,3
Villarreal,Manchester City,2025-10-21,Liga,3
Athletic Club,Qarabağ ,2025-10-22,Liga,3
Galatasaray,Bodø_Glimt ,2025-10-22,Liga,3
Monaco,Tottenham,2025-10-22,Liga,3
Atalanta,Slavia Praha,2025-10-22,Liga,3
Chelsea,Ajax,2025-10-22,Liga,3
Frankfurt,Liverpool,2025-10-22,Liga,3
Bayern München,Club Brugge,2025-10-22,Liga,3
Real Madrid,Juventus,2025-10-22,Liga,3
Sporting CP,Marseille,2025-10-22,Liga,3
