Galatasaray
Juventus
Benfica
Real Madrid
AS Mónaco
Paris Saint-Germain
Borussia Dortmund
Atalanta
Qarabag
Newcastle United
Bodø/Glimt
Inter de Milán
Club Brujas
Atlético de Madrid
Olympiakos
B. Leverkusen

Atlético de Madrid
Club Brujas
B. Leverkusen
Olympiakos
Inter de Milán
Bodø/Glimt
Newcastle United
Qarabag
Atalanta
Borussia Dortmund
Juventus
Galatasaray
Real Madrid
Benfica
Paris Saint-Germain
AS Mónaco
