equipo_local,equipo_visitante,fecha,fase,jornada
Atlético de Madrid,Club Brujas,2026-02-25,Repesca,1
B. Leverkusen,Olympiakos,2026-02-25,Repesca,1
Inter de Milán,Bodø/Glimt,2026-02-25,Repesca,1
Newcastle United,Qarabag,2026-02-25,Repesca,1
Atalanta,Borussia Dortmund,2026-02-25,Repesca,1
Juventus,Galatasaray,2026-02-25,Repesca,1
Real Madrid,Benfica,2026-02-25,Repesca,1
Paris Saint-Germain,AS Mónaco,2026-02-25,Repesca,1
